Tentative Time Table for Semester I (2026-28),,,,,,,,,,,,,,,,,,,,
1,9:10,10:00,HAW-1,,OB-6,DT-8,ME-11,,,OB-7,,SM-7,,,,,,,,
2,10:10,11:00,ME-10,HAW-1,MC-I-7,MM-8,MM-9,FRA-12,OB-7,IBE-6-T,ME-12,SM-8,,,,,,,,
3,11:10,12:00,FRA-10,ME-10,IBE-6-T,MC-I-7,SM-7,ME-11,MC-I-8,IBE-7-T,ILR-10,ME-12,,,,,,,,
4,12:10,1:00,FRA-11,DT-7,IBE-7-T,OB-6,SM-8,MM-9,OM-5,MC-I-8,OM-6,ILR-10,,,,,,,,
Lunch Break,,,,,,,,,,,,,,,,,,,,
5,2:10,3:00,DT-7,FRA-10,MM-8,,FRA-12,,,OM-5,ILR-11,OM-6,,,,,,,,
6,3:10,4:00,,FRA-11,DT-8,,,,,,,ILR-11,,,,,,,,
7,4:10,5:00,,,,,,,,,,,,,,,,,,
8,5:10,6:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Session,Week7,,10-Aug,,11-Aug,,12-Aug,,13-Aug,,14-Aug,,15-Aug,,16-Aug,,,,,
,From,To,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,,,,
1,9:10,10:00,HAW-1,,FRA-15,OB-8,FRA-16,DT-10,OB-9,,,SM-9,Independence Day/ Pateti,,,,,,,
2,10:10,11:00,ME-13,HAW-1,IBE-8-T,FRA-15,ME-14,MM-11,,IBE-8-T,ME-15,SM-10,,,,,,,,
3,11:10,12:00,FRA-13,ME-13,IBE-9-T,MC-I-9,DT-10,ME-14,MC-I-10,IBE-9-T,ILR-12,ME-15,,,,,,,,
4,12:10,1:00,FRA-14,DT-9,MC-I-9,MM-10,MM-11,FRA-16,OM-7,MC-I-10,OM-8,ILR-12,,,,,,,,
Lunch Break,,,,,,,,,,,,,,,,,,,,
5,2:10,3:00,DT-9,FRA-13,MM-10,,SM-9,,,OM-7,ILR-13,OM-8,Independence Day/ Pateti,,,,,,,
6,3:10,4:00,,FRA-14,OB-8,,SM-10,,,OB-9,,ILR-13,,,,,,,,
7,4:10,5:00,,,,,,,,,,,,,,,,,,
8,5:10,6:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Session,Week8,,17-Aug,,18-Aug,,19-Aug,,20-Aug,,21-Aug,,22-Aug,,23-Aug,,,,,
,From,To,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,,,,
1,9:10,10:00,HAW-1,,DT-12,MM-12,,,,,,SM-11,,,,,,,,
2,10:10,11:00,ME-16,HAW-1,OB-10,DT-12,ME-17,FRA-19,,OB-11,ME-18,SM-12,,,,,,,,
3,11:10,12:00,FRA-17,ME-16,IBE-10-T,OB-10,MM-13,ME-17,OM-9,,ILR-14,ME-18,,,,,,,,
4,12:10,1:00,FRA-18,DT-11,MC-I-11,IBE-10-T,FRA-19,MM-13,OB-11,MC-I-12,OM-11,ILR-14,,,,,,,,
Lunch Break,,,,,,,,,,,,,,,,,,,,
